Название;Цена;Город;Дата размещения;Ссылка на фото;Ссылка на страницу
iPhone X;30 000 ;Свердловская область, Новоуральский г.о., Новоуральск;5 июля 14:29;https://34.img.avito.st/208x156/8718918534.jpg;https://www.avito.ru/rossiya/novouralsk/telefony/iphone_x_1933556274?slocation=621540
iPhone X;3 500 ;Московская область, Балашиха;5 июля 16:29;https://47.img.avito.st/208x156/8879060147.jpg;https://www.avito.ru/rossiya/balashiha/telefony/iphone_x_1971786749?slocation=621540
iPhone X 64GB;30 000 ;Краснодарский край, Краснодар;5 июля 14:55;https://60.img.avito.st/208x156/8878529860.jpg;https://www.avito.ru/rossiya/krasnodar/telefony/iphone_x_64gb_1926849055?slocation=621540
iPhone X 64 gb,на экране защитное стекло;29 990 ;Челябинская область, Магнитогорск;5 июля 15:15;https://94.img.avito.st/208x156/8878618994.jpg;https://www.avito.ru/rossiya/magnitogorsk/telefony/iphone_x_64_gbna_ekrane_zaschitnoe_steklo_1969964368?slocation=621540
iPhone X 64gb Space Gray;34 990 ;Республика Бурятия, Улан-Удэ;5 июля 20:33;https://24.img.avito.st/208x156/8880215224.jpg;https://www.avito.ru/rossiya/ulan-ude/telefony/iphone_x_64gb_space_gray_1926260919?slocation=621540
iPhone X silver 64GB;31 000 ;Москва;5 июля 21:18;https://34.img.avito.st/208x156/8880384634.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_silver_64gb_1933598964?slocation=621540
iPhone X Silver 64Gb;29 990 ;Санкт-Петербург;5 июля 15:46;https://14.img.avito.st/208x156/8878801914.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_silver_64gb_1972416860?slocation=621540
iPhone X 64gb;32 500 ;Саратовская область, Саратов;5 июля 17:20;https://96.img.avito.st/208x156/8879329496.jpg;https://www.avito.ru/rossiya/saratov/telefony/iphone_x_64gb_1885839060?slocation=621540
Айфон x;28 000 ;Ивановская область, Иваново;5 июля 14:36;https://49.img.avito.st/208x156/8878510549.jpg;https://www.avito.ru/rossiya/ivanovo/telefony/ayfon_x_1964449086?slocation=621540
iPhone X / iPhone Xr / iPhone Xs Max;21 790 ;Республика Татарстан, Казань;5 июля 18:07;https://06.img.avito.st/208x156/4156000406.jpg;https://www.avito.ru/rossiya/kazan/telefony/iphone_x_iphone_xr_iphone_xs_max_745663839?slocation=621540
iPhone X 64Gb;29 999 ;Республика Татарстан, Казань;5 июля 14:33;https://34.img.avito.st/208x156/8868666534.jpg;https://www.avito.ru/rossiya/kazan/telefony/iphone_x_64gb_1979042154?slocation=621540
iPhone X space grey 64gb, RU/A;31 500 ;Пермский край, Пермь;5 июля 20:33;https://64.img.avito.st/208x156/8880188964.jpg;https://www.avito.ru/rossiya/perm/telefony/iphone_x_space_grey_64gb_rua_1964883796?slocation=621540
iPhone X;28 000 ;Красноярский край, Красноярск;5 июля 13:06;https://68.img.avito.st/208x156/8877929768.jpg;https://www.avito.ru/rossiya/krasnoyarsk/telefony/iphone_x_1963212077?slocation=621540
iPhone X 256 gb silver;35 000 ;Москва;5 июля 20:38;https://43.img.avito.st/208x156/8880247043.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_256_gb_silver_1978161597?slocation=621540
iPhone 7/8/7 plus/8 plus/X/6/6s;14 990 ;Самарская область, Самара;5 июля 20:03;https://88.img.avito.st/208x156/8815959988.jpg;https://www.avito.ru/rossiya/samara/telefony/iphone_787_plus8_plusx66s_1955673211?slocation=621540
iPhone X 256gb;35 990 ;Республика Татарстан, Казань;5 июля 16:00;https://71.img.avito.st/208x156/8878864371.jpg;https://www.avito.ru/rossiya/kazan/telefony/iphone_x_256gb_1933638639?slocation=621540
iPhone X 64gb Белый цвет;28 500 ;Москва;5 июля 14:09;https://91.img.avito.st/208x156/8878049791.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_64gb_belyy_tsvet_1950510130?slocation=621540
iPhone X 64Gb;24 000 ;Санкт-Петербург;5 июля 20:36;https://18.img.avito.st/208x156/8880226418.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_64gb_1960546252?slocation=621540
iPhone X 64 GB;33 000 ;Санкт-Петербург;5 июля 12:37;https://74.img.avito.st/208x156/8877565774.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_64_gb_1964763325?slocation=621540
iPhone X, 64 Gb;40 000 ;Вологодская область, Череповец;5 июля 19:26;https://79.img.avito.st/208x156/4832527979.jpg;https://www.avito.ru/rossiya/cherepovets/telefony/iphone_x_64_gb_1081471935?slocation=621540
iPhone X 256Gb;38 000 ;Дагестан, Махачкала;5 июля 15:51;https://35.img.avito.st/208x156/8719441335.jpg;https://www.avito.ru/rossiya/mahachkala/telefony/iphone_x_256gb_1928345001?slocation=621540
iPhone X 64 гб чёрный;30 000 ;Санкт-Петербург;5 июля 18:05;https://97.img.avito.st/208x156/8879543797.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_64_gb_chernyy_1925079019?slocation=621540
iPhone X 256gb;35 000 ;Краснодарский край, Сочи;5 июля 21:36;https://81.img.avito.st/208x156/8880472281.jpg;https://www.avito.ru/rossiya/sochi/telefony/iphone_x_256gb_1962136623?slocation=621540
iPhone 6/X/8/7/7+/5S/4S/11 Магазин.Рассрочка;7 990 ;Краснодарский край, Новороссийск;5 июля 17:46;https://48.img.avito.st/208x156/8183134848.jpg;https://www.avito.ru/rossiya/novorossiysk/telefony/iphone_6x8775s4s11_magazin.rassrochka_1847671368?slocation=621540
iPhone x;23 000 ;Краснодарский край, Краснодар;5 июля 11:39;https://93.img.avito.st/208x156/8877425093.jpg;https://www.avito.ru/rossiya/krasnodar/telefony/iphone_x_1960119655?slocation=621540
iPhone X;28 000 ;Новосибирская область, Новосибирск;5 июля 19:41;https://16.img.avito.st/208x156/8879939916.jpg;https://www.avito.ru/rossiya/novosibirsk/telefony/iphone_x_1951775242?slocation=621540
Телефон айфон X 64 гБ;33 500 ;Республика Дагестан, Махачкала;5 июля 16:30;https://73.img.avito.st/208x156/8779922473.jpg;https://www.avito.ru/rossiya/mahachkala/telefony/telefon_ayfon_x_64_gb_1918196403?slocation=621540
Телефон iPhone X 256g;28 000 ;Омская область, Омск;5 июля 15:21;https://01.img.avito.st/208x156/8878657501.jpg;https://www.avito.ru/rossiya/omsk/telefony/telefon_iphone_x_256g_1981284707?slocation=621540
iPhone X 64gb Ростест;34 000 ;Удмуртская Республика, Ижевск;5 июля 14:15;https://47.img.avito.st/208x156/8878279447.jpg;https://www.avito.ru/rossiya/izhevsk/telefony/iphone_x_64gb_rostest_1977921421?slocation=621540
iPhone X 64Gb Silver;20 000 ;Республика Башкортостан, Бирский р-н, Городское поселение город Бирск, Бирск;5 июля 21:35;https://23.img.avito.st/208x156/8880493123.jpg;https://www.avito.ru/rossiya/birsk/telefony/iphone_x_64gb_silver_1976976816?slocation=621540
iPhone X Ростест;28 500 ;Москва;5 июля 12:16;https://96.img.avito.st/208x156/8878598696.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_rostest_1975975943?slocation=621540
Айфон x и айфон 6s;20 000 ;Красноярский край, Ермаковский р-н, с. Семенниково;5 июля 07:53;https://50.img.avito.st/208x156/8876657850.jpg;https://www.avito.ru/rossiya/ermakovskoe/telefony/ayfon_x_i_ayfon_6s_1952733181?slocation=621540
iPhone X(64гб);30 999 ;Республика Карелия, Петрозаводский г.о., Петрозаводск;5 июля 16:02;https://61.img.avito.st/208x156/8878843361.jpg;https://www.avito.ru/rossiya/petrozavodsk/telefony/iphone_x64gb_1967521099?slocation=621540
iPhone X 256GB;32 000 ;Санкт-Петербург;5 июля 20:36;https://92.img.avito.st/208x156/8880219092.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_x_256gb_1970539194?slocation=621540
iPhone 7/8/X/6s/5s/5;11 990 ;Краснодарский край, Краснодар;5 июля 18:05;https://49.img.avito.st/208x156/8411779749.jpg;https://www.avito.ru/rossiya/krasnodar/telefony/iphone_78x6s5s5_1768559999?slocation=621540
Телефон iPhone X;26 000 ;Московская область, Ленинский г.о., Видное;5 июля 17:48;https://52.img.avito.st/208x156/8879455052.jpg;https://www.avito.ru/rossiya/vidnoe/telefony/telefon_iphone_x_1933530919?slocation=621540
iPhone X;35 000 ;Самарская область, Сызрань;5 июля 21:43;https://37.img.avito.st/208x156/8880507337.jpg;https://www.avito.ru/rossiya/syzran/telefony/iphone_x_1971816907?slocation=621540
iPhone X 64gb Белый, идеальное состояние;28 000 ;Москва;5 июля 17:13;https://76.img.avito.st/208x156/8879057576.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_x_64gb_belyy_idealnoe_sostoyanie_1970188921?slocation=621540
Айфон X 256gb;37 000 ;Москва;5 июля 15:45;https://15.img.avito.st/208x156/8128142815.jpg;https://www.avito.ru/rossiya/moskva/telefony/ayfon_x_256gb_1884374072?slocation=621540
iPhone X;32 990 ;Калининградская область, Калининград;5 июля 14:04;https://43.img.avito.st/208x156/8127822943.jpg;https://www.avito.ru/rossiya/kaliningrad/telefony/iphone_x_1870269736?slocation=621540
Телефон iPhone x 256;36 000 ;Москва;5 июля 20:31;https://17.img.avito.st/208x156/8749214817.jpg;https://www.avito.ru/rossiya/moskva/telefony/telefon_iphone_x_256_1946890088?slocation=621540
iPhone X;31 000 ;Московская область, Мытищи;5 июля 14:29;https://39.img.avito.st/208x156/8283346039.jpg;https://www.avito.ru/rossiya/mytischi/telefony/iphone_x_1908789384?slocation=621540
Телефон iPhone X;28 000 ;Алтайский край, Барнаул;5 июля 17:13;https://96.img.avito.st/208x156/8879907696.jpg;https://www.avito.ru/rossiya/barnaul/telefony/telefon_iphone_x_1954433086?slocation=621540
iPhone x/xr/xs/xs max;29 500 ;Москва;5 июля 17:20;https://27.img.avito.st/208x156/8815229427.jpg;https://www.avito.ru/rossiya/moskva/telefony/iphone_xxrxsxs_max_1962524798?slocation=621540
iPhone 7, 6s, 8, 7 plus,X,Xr, 5s, 4s;2 990 ;Нижегородская область, Нижний Новгород;5 июля 20:14;https://66.img.avito.st/208x156/7998929866.jpg;https://www.avito.ru/rossiya/nizhniy_novgorod/telefony/iphone_7_6s_8_7_plusxxr_5s_4s_1866579605
iPhone X 64GB Silver Без Face ID б/у, рассрочка;28 500 ;Тверская область, Тверь;5 июля 19:30;https://18.img.avito.st/208x156/8869136218.jpg;https://www.avito.ru/rossiya/tver/telefony/iphone_x_64gb_silver_bez_face_id_bu_rassrochka_1970915301
iPhone 7 7 Plus X Хs 8 8 Plus 6s Se;4 444 ;Санкт-Петербург;5 июля 19:21;https://22.img.avito.st/208x156/8796455122.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/iphone_7_7_plus_x_hs_8_8_plus_6s_se_1861571882?slocation=621540
iPhone X, 256 GB;45 000 ;Республика Башкортостан, Уфа;5 июля 18:55;https://73.img.avito.st/208x156/8879786473.jpg;https://www.avito.ru/rossiya/ufa/telefony/iphone_x_256_gb_1961370974?slocation=621540
Телефон iPhone x;31 500 ;Ставропольский край, Ставрополь;5 июля 12:57;https://58.img.avito.st/208x156/8877655258.jpg;https://www.avito.ru/rossiya/stavropol/telefony/telefon_iphone_x_1959318108?slocation=621540
Телефон iPhone X 256;35 000 ;Санкт-Петербург;5 июля 17:17;https://83.img.avito.st/208x156/8879303283.jpg;https://www.avito.ru/rossiya/sankt-peterburg/telefony/telefon_iphone_x_256_1964727432?slocation=621540
iPhone X;27 500 ;Республика Дагестан, Каспийск;5 июля 14:16;https://03.img.avito.st/208x156/8878339903.jpg;https://www.avito.ru/rossiya/kaspiysk/telefony/iphone_x_1971168501?slocation=621540
iPhone 10;35 000 ;Томская область, Томск;5 июля 14:24;https://31.img.avito.st/208x156/8878369931.jpg;https://www.avito.ru/rossiya/tomsk/telefony/iphone_10_1969738867?slocation=621540
